Start Date,End Date,Under 1 year,1 to 4 years,5 to 17 years,18 years and over,Total
2018-09-01,2019-05-20,83,227,113,100,523
2018-09-01,2019-05-24,85,229,115,106,535
2018-09-01,2019-05-29,87,237,119,107,550
2018-09-01,2019-06-03,89,245,120,112,566
2018-09-01,2019-06-10,91,252,125,120,588
2018-09-01,2019-06-24,95,261,129,124,609
2018-09-01,2019-07-15,97,267,132,127,623
2018-09-01,2019-07-22,97,273,138,129,637
2018-09-01,2019-07-29,100,275,138,129,642
