Start Date,End Date,Under 1 year,1 to 4 years,5 to 17 years,18 years and over,Total
2018-09-01,2019-05-20,83,227,113,100,523
2018-09-01,2019-05-24,85,229,115,106,535
2018-09-01,2019-05-29,87,237,119,107,550
