Neighborhood,Ongoing transmission (2019-05-29),All cases (2018-09-01 to 2019-05-29),Newest cases (2019-05-24 to 2019-05-29)
Borough Park,1,85,3
Sunset Park,1,12,0
Williamsburg,1,424,5
Bensonhurst,0,2,0
Brighton Beach/Coney Island,0,4,0
Chelsea/Clinton,0,1,1
Crown Heights,0,3,0
Far Rockaway,0,1,0
Flatbush,0,1,0
Flushing,0,3,0
Hunts Point/Longwood/Melrose,0,1,0
Jamaica,0,2,0
Midwood/Marine Park,0,4,0
Port Richmond,0,1,1
Willowbrook,0,6,6
TOTAL,3,550,16
